rank,movie_id,title,content_score,content_normalized,rating_score,rating_normalized,business_score,business_normalized,time_score,time_normalized,final_score
2202,13150,Pride and Glory,33.57309518726328,0.5880141433255417,32.26805154195659,0.399606260859386,45.45,0.4780185107278082,46.68,0.9245395127748068,56.94
2203,9549,The Right Stuff,36.13527345939737,0.6375028431748212,37.413925137436735,0.4633325538359274,43.3,0.4554059739167017,36.17,0.7163794810853634,56.94
2204,52449,Bad Teacher,27.23715302848574,0.4656348603660584,31.106430467162436,0.3852207918876885,69.82,0.7343289861169541,47.04,0.9316696375519904,56.92
2205,48309,Prison,37.84625282165878,0.6705505608251391,33.732620335908194,0.41774342227929284,24.68,0.2595708876735381,48.67,0.9639532580709052,56.92
2206,284293,Still Alice,26.25458091697205,0.4466563931626533,40.71487150128522,0.5042113416995126,57.34,0.6030710980227177,48.38,0.9582095464448406,56.91
2207,37958,Immortals,31.52399976047013,0.5484356839958427,31.285819707723483,0.38744234107437536,49.5,0.5206142196045436,50.05,0.9912854030501088,56.91
2208,60309,The Conspirator,36.4127326423831,0.6428619918244467,31.50830981273856,0.39019764964414394,34.0,0.357593605384939,48.03,0.9512774806892453,56.89
2209,9009,Dark Water,36.94438806853253,0.6531309633843512,27.426117944425364,0.33964394867195585,36.44,0.3832562053007993,49.17,0.9738562091503268,56.89
2210,2074,Flirting with Disaster,34.57999463656423,0.6074624952090955,31.76961728144566,0.39343367089472686,41.7,0.43857803954564584,47.0,0.9308774014656367,56.87
2211,7459,Speed Racer,34.76784984921556,0.611090935249796,29.66195115522148,0.36733241781022274,45.73,0.48096339924274295,45.84,0.9079025549613785,56.86
2212,3059,Intolerance,30.568868995291385,0.5299872488229954,37.204725502737176,0.46074183391945706,64.65,0.6799537231804796,35.5,0.7031095266389383,56.86
2213,9794,Employee of the Month,32.27921733971467,0.5630227783079814,27.052132838510275,0.3350125320648046,54.47,0.5728859907446361,48.84,0.9673202614379085,56.86
2214,3512,Under Siege 2: Dark Territory,32.71977952316815,0.5715322758316305,28.75690468286884,0.35612435846240115,51.05,0.536916281026504,48.33,0.9572192513368983,56.86
2215,20024,The End of the Affair,33.843534670252254,0.593237705849116,33.27807781477124,0.4121143858611205,39.74,0.41796381994110227,48.67,0.9639532580709052,56.85
2216,1248,Hannibal Rising,33.90290767702093,0.5943845007240396,31.57670625813795,0.39104466849083774,42.72,0.44930584770719395,48.17,0.9540503069914834,56.85
2217,15670,Madea Goes to Jail,28.02237632077784,0.4808015176785255,32.18441651378827,0.3985705280126179,62.46,0.6569204880100967,48.85,0.9675183204594969,56.85
2218,16690,Return to Never Land,30.55898304924054,0.5297963009010036,31.48305835853601,0.3898849366443515,61.49,0.6467185527976441,43.67,0.8649237472766884,56.85
2219,188207,The Legend of Hercules,38.236187285984016,0.6780821794778131,23.734255776525973,0.2939240751120586,38.11,0.400820361800589,48.3,0.956625074272133,56.84
2220,11398,The Art of War,34.63436420131656,0.6085126481591175,28.4734086075766,0.35261355439452796,43.6,0.4585612116112747,48.83,0.96712220241632,56.83
2221,837,Videodrome,34.331347685647664,0.6026598573691847,36.90428106436567,0.45702114200046934,35.99,0.3785233487589399,46.17,0.9144385026737968,56.82
2222,34647,Enter the Void,39.288424948714265,0.69840624296212,37.31020670251114,0.46204810888241316,23.75,0.2497896508203618,41.51,0.8221429986135868,56.82
